intent,description,cypher_query
player_basic_info,"Retrieve player metadata, position, team","MATCH (p:Player {player_name: $player}) OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position) OPTIONAL MATCH (p)-[:PLAYS_FOR {season: $season}]->(t:Team) RETURN p, pos, t;"
player_season_stats,"Aggregated season stats for a player","MATCH (p:Player {player_name: $player})-[r:PLAYED_IN]->(f:Fixture) MATCH (f)<-[:HAS_FIXTURE]-(g:Gameweek)<-[:HAS_GW]-(s:Season {season_name: $season}) RETURN p.player_name AS player, SUM(r.total_points) AS total_points, SUM(r.goals_scored) AS goals, SUM(r.assists) AS assists, SUM(r.minutes) AS minutes, AVG(r.form) AS avg_form;"
player_gw_stats,"Player performance in a specific gameweek","MATCH (p:Player {player_name: $player})-[r:PLAYED_IN]->(f:Fixture) MATCH (g:Gameweek {season: $season, GW_number: $gw})-[:HAS_FIXTURE]->(f) RETURN p, r, f;"
fixture_details,"Home team, away team, and all player stats for a fixture","MATCH (f:Fixture {season: $season, fixture_number: $fixture}) MATCH (f)-[:HAS_HOME_TEAM]->(home:Team) MATCH (f)-[:HAS_AWAY_TEAM]->(away:Team) MATCH (p:Player)-[r:PLAYED_IN]->(f) RETURN f, home, away, p, r;"
team_fixtures,"Get all fixtures where a team participated","MATCH (t:Team {name: $team}) MATCH (f:Fixture)-[:HAS_HOME_TEAM|HAS_AWAY_TEAM]->(t) RETURN f ORDER BY f.kickoff_time;"
team_players,"All players who play for a specific team in a season","MATCH (t:Team {name: $team}) MATCH (p:Player)-[:PLAYS_FOR {season: $season}]->(t) RETURN p;"
top_players_position,"Top N players in a position in a season","MATCH (p:Player)-[:PLAYS_AS]->(:Position {name: $position}) MATCH (p)-[r:PLAYED_IN]->(f:Fixture) MATCH (f)<-[:HAS_FIXTURE]-(g:Gameweek)<-[:HAS_GW]-(s:Season {season_name: $season}) RETURN p.player_name AS player, SUM(r.total_points) AS points ORDER BY points DESC LIMIT $limit;"
compare_players,"Compare total points between two players","MATCH (p1:Player {player_name: $player1})-[r1:PLAYED_IN]->(f1:Fixture) MATCH (p2:Player {player_name: $player2})-[r2:PLAYED_IN]->(f2:Fixture) RETURN p1.player_name AS player1, SUM(r1.total_points) AS p1_points, p2.player_name AS player2, SUM(r2.total_points) AS p2_points;"
gameweek_summary,"Retrieve all fixtures and stats for a gameweek","MATCH (g:Gameweek {season: $season, GW_number: $gw})-[:HAS_FIXTURE]->(f) MATCH (p:Player)-[r:PLAYED_IN]->(f) RETURN g, f, p, r ORDER BY f.fixture_number;"
player_vs_opponent,"Player performance against a specific opponent","MATCH (p:Player {player_name: $player})-[r:PLAYED_IN]->(f:Fixture) MATCH (p)-[:PLAYED_AGAINST]->(opp:Team {name: $opponent}) RETURN p.player_name AS player, opp.name AS opponent, SUM(r.goals_scored) AS goals, SUM(r.assists) AS assists, SUM(r.total_points) AS points;"
